name,graduation_year
Yagiz Aksoy,2011.0
"Alimadadi, Saba",2017.0
Ouldooz Baghban Karimi,
Bradley Bart,1996.0
Robert D. Cameron,1977.0
Bobby Chan,2005.0
Mo Chen,2011.0
Parmit Chilana,2005.0
Ryan D'Arcy,1996.0
John Edgar,1984.0
Eugene Fiume,1981.0
Yasutaka Furukawa,2001.0
Qianping Gu,1982.0
Mohamed Hefeeda,1994.0
Hazra Imran,2003.0
Steven Ko,1999.0
Ke Li,2014.0
Angelica Lim,2012.0
Hang Ma,2012.0
David G. Mitchell,1989.0
Jacquie Nelsen,2003.0
Jian Pei,1991.0
"Popowich, Fred",1982.0
Anoop Sarkar,1991.0
Thomas Cl Shermer,1984.0
Igor Shinkar,2014.0
Harinder Singh Khangura,1997.0
Andrea Tagliasacchi,2005.0
Sharan Vaswani,2015.0
Jiannan Wang,2013.0
Tao Wang,2015.0
Yuepeng Wang,2014.0
"Xie, Cynthia",
KangKang Yin,1997.0
Alaa Alameldeen,1996.0
Matt Amy,2011.0
Greg Baker,1998.0
Andrei Bulatov,1991.0
Sheelagh Carpendale,1992.0
Angel Chang,2015.0
Victor Cheung,2004.0
"Cukierman, Diana",1994.0
Toby Donaldson,1998.0
Martin Ester,1984.0
"Fraser, Brian",2002.0
Uwe Glasser,1987.0
Ghassan Hamarneh,1995.0
Xiao Hu,
Valentine Kabanets,1993.0
Anne Lavergne,1991.0
Maxwell Libbrecht,2011.0
Jiangchuan Liu,1999.0
Ali Mahdavi-Amiri,
Greg Mori,1999.0
Steven Pearce,1981.0
"Peters, Joseph ",1974.0
Janice Regan,1979.0
Manolis Savva,2009.0
Oliver Schulte,1992.0
Arrvindh Shriraman,2004.0
William (Nick) Sumner,2005.0
Eugenia Ternovska,2002.0
Keval Vora,2017.0
Ke Wang,1984.0
Tianzheng Wang,2017.0
Kay C. Wiese,1991.0
Xing-Dong Yang,
Richard (Hao) Zhang,1995.0
