id_x,id_y,joinKey1,joinKey2
b0002mg5uk,http://www.google.com/base/feeds/snippets/1267940675828545901,"['iview', 'mediapro', '2', '5', 'global', 'marketing']","['iview', 'mediapro', '2', '6', 'media', 'management']"
b0002mg5uk,http://www.google.com/base/feeds/snippets/17615743519264436737,"['iview', 'mediapro', '2', '5', 'global', 'marketing']","['onone', 'software', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full']"
b000v7vz1u,http://www.google.com/base/feeds/snippets/1267940675828545901,"['onone', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full', 'onone', 'software']","['iview', 'mediapro', '2', '6', 'media', 'management']"
b000v7vz1u,http://www.google.com/base/feeds/snippets/17615743519264436737,"['onone', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full', 'onone', 'software']","['onone', 'software', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full']"
b0002mg5uk,http://www.google.com/base/feeds/snippets/11023384475486845617,"['iview', 'mediapro', '2', '5', 'global', 'marketing']","['punch', 'software', '20100', 'punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
b0002mg5uk,http://www.google.com/base/feeds/snippets/5572182459728876600,"['iview', 'mediapro', '2', '5', 'global', 'marketing']","['bias', 'deck', '3', '5', 'le', 'digital', 'audio', 'recording', 'software', 'music', 'production', 'software']"
b0002jtvng,http://www.google.com/base/feeds/snippets/11023384475486845617,"['bias', 'deck', 'le', '3', '5', 'macintosh', 'cd', 'bias']","['punch', 'software', '20100', 'punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
b0002jtvng,http://www.google.com/base/feeds/snippets/5572182459728876600,"['bias', 'deck', 'le', '3', '5', 'macintosh', 'cd', 'bias']","['bias', 'deck', '3', '5', 'le', 'digital', 'audio', 'recording', 'software', 'music', 'production', 'software']"
b00002s6sc,http://www.google.com/base/feeds/snippets/11023384475486845617,"['punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']","['punch', 'software', '20100', 'punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
b00002s6sc,http://www.google.com/base/feeds/snippets/5572182459728876600,"['punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']","['bias', 'deck', '3', '5', 'le', 'digital', 'audio', 'recording', 'software', 'music', 'production', 'software']"
b0002mg5uk,http://www.google.com/base/feeds/snippets/10073523251870401694,"['iview', 'mediapro', '2', '5', 'global', 'marketing']","['global', 'software', 'a1826m2w', 'dk', 'amazing', 'animals', '1', '1', 'win', '95', '98', '2000', 'xp', 'vista']"
b000saufpw,http://www.google.com/base/feeds/snippets/10073523251870401694,"['dk', 'amazing', 'animals', '1', '1', 'global', 'software', 'publishing']","['global', 'software', 'a1826m2w', 'dk', 'amazing', 'animals', '1', '1', 'win', '95', '98', '2000', 'xp', 'vista']"
b0002jtvng,http://www.google.com/base/feeds/snippets/17409160117322953940,"['bias', 'deck', 'le', '3', '5', 'macintosh', 'cd', 'bias']","['cyberlink', 'power', 'director', '3']"
b0000vyk1o,http://www.google.com/base/feeds/snippets/5572182459728876600,"['power', 'director', '3', 'avanquest', 'publishing', 'usa', 'inc', '']","['bias', 'deck', '3', '5', 'le', 'digital', 'audio', 'recording', 'software', 'music', 'production', 'software']"
b0000vyk1o,http://www.google.com/base/feeds/snippets/17409160117322953940,"['power', 'director', '3', 'avanquest', 'publishing', 'usa', 'inc', '']","['cyberlink', 'power', 'director', '3']"
b0007lw22g,http://www.google.com/base/feeds/snippets/10849068506859926430,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']","['apple', 'ilife', '06']"
b0007lw22g,http://www.google.com/base/feeds/snippets/7249154325906371083,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b0007lw22g,http://www.google.com/base/feeds/snippets/16934204320953872944,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']","['adobe', 'indesign', 'cs3', 'for', 'mac', 'upgrade', 'from', 'pagemaker']"
b00007kh02,http://www.google.com/base/feeds/snippets/7249154325906371083,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b00007kh02,http://www.google.com/base/feeds/snippets/16934204320953872944,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']","['adobe', 'indesign', 'cs3', 'for', 'mac', 'upgrade', 'from', 'pagemaker']"
b000ndibbo,http://www.google.com/base/feeds/snippets/7249154325906371083,"['adobe', 'indesign', 'cs3', 'upgrade', 'from', 'pagemaker', 'mac', 'adobe']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b000ndibbo,http://www.google.com/base/feeds/snippets/16934204320953872944,"['adobe', 'indesign', 'cs3', 'upgrade', 'from', 'pagemaker', 'mac', 'adobe']","['adobe', 'indesign', 'cs3', 'for', 'mac', 'upgrade', 'from', 'pagemaker']"
b000ndibge,http://www.google.com/base/feeds/snippets/7249154325906371083,"['adobe', 'creative', 'suite', 'cs3', 'web', 'standard', 'mac', 'adobe']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b000ndibge,http://www.google.com/base/feeds/snippets/16934204320953872944,"['adobe', 'creative', 'suite', 'cs3', 'web', 'standard', 'mac', 'adobe']","['adobe', 'indesign', 'cs3', 'for', 'mac', 'upgrade', 'from', 'pagemaker']"
b0007lw22g,http://www.google.com/base/feeds/snippets/17615743519264436737,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']","['onone', 'software', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full']"
b000licg1m,http://www.google.com/base/feeds/snippets/7249154325906371083,"['power', 'production', 'storyboard', 'artist', '4', 'power', 'production']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b00007kh02,http://www.google.com/base/feeds/snippets/18356272944058818376,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']","['red', 'mile', 'entertainment', '124', 'aircraft', 'power', 'pack', 'for', 'ms', 'flight', 'simulator', 'win', '98', 'me', 'nt', '2000', 'xp']"
b00007kh02,http://www.google.com/base/feeds/snippets/10073523251870401694,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']","['global', 'software', 'a1826m2w', 'dk', 'amazing', 'animals', '1', '1', 'win', '95', '98', '2000', 'xp', 'vista']"
b000saufpw,http://www.google.com/base/feeds/snippets/11023384475486845617,"['dk', 'amazing', 'animals', '1', '1', 'global', 'software', 'publishing']","['punch', 'software', '20100', 'punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
b000saufpw,http://www.google.com/base/feeds/snippets/7249154325906371083,"['dk', 'amazing', 'animals', '1', '1', 'global', 'software', 'publishing']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
b00002s6sc,http://www.google.com/base/feeds/snippets/7249154325906371083,"['punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']","['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
