,joinKey
0,"['iview', 'mediapro', '2', '5', 'global', 'marketing']"
1,"['bias', 'deck', 'le', '3', '5', 'macintosh', 'cd', 'bias']"
2,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']"
3,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']"
4,"['dk', 'amazing', 'animals', '1', '1', 'global', 'software', 'publishing']"
5,"['onone', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full', 'onone', 'software']"
6,"['upg', 'sgms', '1000', 'incremental', 'node', 'sonic', 'systems', 'inc', '']"
7,"['power', 'director', '3', 'avanquest', 'publishing', 'usa', 'inc', '']"
8,"['aircraft', 'power', 'pack', 'for', 'ms', 'flight', 'simulator', 'red', 'mile']"
9,"['power', 'production', 'storyboard', 'artist', '4', 'power', 'production']"
10,"['punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
11,"['aquazone', 'bass', 'edition', 'smith', 'micro', 'software']"
12,"['handmark', 'oxford', 'american', 'desk', 'dictionary', 'and', 'thesaurus', 'handmark', 'inc', '']"
13,"['adobe', 'indesign', 'cs3', 'upgrade', 'from', 'pagemaker', 'mac', 'adobe']"
14,"['adobe', 'creative', 'suite', 'cs3', 'web', 'standard', 'mac', 'adobe']"
15,"['hijack2', 'navarre', 'software', '']"
